XYZ-ME;symbol;hemisphere;seg_id;optic_lobe_id;dorso-ventral
182365.0,72225.0,2548.0;Tm9;R;720575940629900252;R180;V
205572.0,81132.0,4586.0;Tm9;R;720575940624919994;R181;V
185432.0,68816.0,2508.0;Tm9;R;720575940616954297;R182;V
200834.0,71279.0,3582.0;Tm9;R;720575940641625741;R183;D
198305.0,45466.0,4637.0;Tm9;R;720575940626254892;R184;D
200294.0,73712.0,3406.0;Tm9;R;720575940616301497;R185;V
197773.0,50730.0,4041.0;Tm9;R;720575940641374861;R186;D
203402.0,51718.0,4735.0;Tm9;R;720575940624613680;R187;D
207006.0,72878.0,4500.0;Tm9;R;720575940623629035;R188;D
195925.0,56928.0,3464.0;Tm9;R;720575940614207903;R189;D
209118.0,62436.0,5064.0;Tm9;R;720575940622466584;R190;D
183556.0,70668.0,2536.0;Tm9;R;720575940614212754;R191;V
198274.0,57580.0,3773.0;Tm9;R;720575940626010652;R192;D
208204.0,60350.0,5299.0;Tm9;R;720575940637631333;R193;D
201737.0,51749.0,4454.0;Tm9;R;720575940637942837;R194;D
191564.0,52956.0,3269.0;Tm9;R;720575940612399986;R195;D
190423.0,71325.0,2831.0;Tm9;R;720575940611758834;R196;V
198334.0,69955.0,3277.0;Tm9;R;720575940629202298;R197;D
190795.0,44737.0,3967.0;Tm9;R;720575940632747801;R198;D
198493.0,90178.0,4424.0;Tm9;R;720575940618727760;R199;V
192424.0,71931.0,2814.0;Tm9;R;720575940630811723;R200;V
196238.0,74526.0,3123.0;Tm9;R;720575940612487405;R201;V
191232.0,44218.0,4015.0;Tm9;R;720575940619959472;R202;D
193178.0,48440.0,3713.0;Tm9;R;720575940626912556;R203;D
187058.0,67469.0,2606.0;Tm9;R;720575940609437653;R204;D
188706.0,66462.0,2778.0;Tm9;R;720575940626674988;R205;D
204923.0,76937.0,4284.0;Tm9;R;720575940642701876;R206;V
203522.0,74522.0,4008.0;Tm9;R;720575940600084489;R207;V
206522.0,79007.0,4646.0;Tm9;R;720575940618439478;R208;V
200269.0,53805.0,4203.0;Tm9;R;720575940659599233;R209;D
189210.0,44362.0,3842.0;Tm9;R;720575940625006855;R210;D
188684.0,56242.0,2876.0;Tm9;R;720575940622927541;R211;D
189522.0,96280.0,4555.0;Tm9;R;720575940608117699;R212;V
182520.0,69619.0,2484.0;Tm9;R;720575940630930259;R213;V
203697.0,84153.0,5383.0;Tm9;R;720575940618751312;R214;V
194388.0,74638.0,3040.0;Tm9;R;720575940608800451;R215;V
189024.0,70042.0,2711.0;Tm9;R;720575940638698842;R216;V
189313.0,73632.0,2746.0;Tm9;R;720575940608058889;R217;V
201348.0,87798.0,5367.0;Tm9;R;720575940627055204;R218;V
199670.0,48430.0,4367.0;Tm9;R;720575940636348011;R219;D
198277.0,44744.0,4955.0;Tm9;R;720575940620641300;R220;D
191870.0,42308.0,4440.0;Tm9;R;720575940621332406;R221;D
194469.0,49643.0,3623.0;Tm9;R;720575940631873863;R222;D
192743.0,44838.0,4119.0;Tm9;R;720575940633303648;R223;D
176099, 91194, 3225;Tm9;R;720575940627272122;R224;V
198525.0,59808.0,3612.0;Tm9;R;720575940609620747;R225;D
177116.0,85247.0,2878.0;Tm9;R;720575940623374377;R226;V
176310.0,90741.0,3098.0;Tm9;R;720575940629865015;R227;V
181716.0,96438.0,4077.0;Tm9;R;720575940628713732;R228;V
187092.0,97108.0,4480.0;Tm9;R;720575940649782393;R229;V
181990.0,94494.0,3893.0;Tm9;R;720575940639690301;R230;V
175878.0,91722.0,3356.0;Tm9;R;720575940632323640;R231;V
177448.0,91598.0,3287.0;Tm9;R;720575940617043542;R232;V
178845.0,88964.0,3006.0;Tm9;R;720575940621398237;R233;V
187304.0,55141.0,2946.0;Tm9;R;720575940652191990;R234;D
191242.0,50160.0,3592.0;Tm9;R;720575940641730549;R235;D
178499.0,83782.0,2764.0;Tm9;R;720575940632526244;R236;V
177773.0,87163.0,2910.0;Tm9;R;720575940612551141;R237;V
200410.0,67630.0,3583.0;Tm9;R;720575940620550491;R238;D
187954.0,85396.0,3143.0;Tm9;R;720575940627300618;R239;V
181996.0,78131.0,2493.0;Tm9;R;720575940627335557;R240;V
185554.0,98151.0,4398.0;Tm9;R;720575940631295020;R241;V
197062.0,72504.0,3219.0;Tm9;R;720575940612646826;R242;V
192578.0,75601.0,2960.0;Tm9;R;720575940626401869;R243;V
183314.0,86332.0,2945.0;Tm9;R;720575940638641478;R244;V
183329.0,92817.0,3643.0;Tm9;R;720575940624500372;R245;V
178944.0,85238.0,2851.0;Tm9;R;720575940640311971;R246;V
182094.0,81522.0,2753.0;Tm9;R;720575940635098266;R247;V
180353.0,87839.0,2887.0;Tm9;R;720575940631940712;R248;V
193482.0,69803.0,2930.0;Tm9;R;720575940615974854;R249;D
194182.0,63720.0,3038.0;Tm9;R;720575940610307886;R250;D
197158.0,65828.0,3257.0;Tm9;R;720575940618689950;R251;D
196114.0,62553.0,3209.0;Tm9;R;720575940617727645;R252;D
185500.0,51496.0,3082.0;Tm9;R;720575940629148145;R253;D
188012.0,51491.0,3116.0;Tm9;R;720575940625355853;R254;D
187114.0,65484.0,2625.0;Tm9;R;720575940614270189;R255;D
178152.0,75364.0,2558.0;Tm9;R;720575940630438850;R256;V
191935.0,63884.0,2914.0;Tm9;R;720575940614323106;R257;D
181799.0,63094.0,2570.0;Tm9;R;720575940624407740;R258;D
186314.0,70126.0,2682.0;Tm9;R;720575940614233263;R259;V
200541.0,63062.0,3631.0;Tm9;R;720575940630638073;R260;D
186149.0,43366.0,4060.0;Tm9;R;720575940626113061;R261;D
185201.0,56953.0,2787.0;Tm9;R;720575940630610852;R262;D
187021.0,46892.0,3395.0;Tm9;R;720575940623285005;R263;D
203701, 50212, 5470;Tm9;R;720575940630474307;R264;D
203355.0,49661.0,5219.0;Tm9;R;720575940637867241;R265;D
199535.0,45394.0,5041.0;Tm9;R;720575940613445101;R266;D
198392.0,46518.0,4587.0;Tm9;R;720575940623771061;R267;D
190385.0,42196.0,4341.0;Tm9;R;720575940616813142;R268;D
177645.0,90208.0,3126.0;Tm9;R;720575940638900352;R269;V
197448.0,60352.0,3358.0;Tm9;R;720575940625942372;R270;D
196540.0,59144.0,3253.0;Tm9;R;720575940621687073;R271;D
178579.0,94572.0,3619.0;Tm9;R;720575940640543603;R272;V
180392.0,95783.0,4004.0;Tm9;R;720575940637894110;R273;V
177034.0,83478.0,2755.0;Tm9;R;720575940637324870;R274;V
178465.0,94555.0,3632.0;Tm9;R;720575940619730590;R275;V
182193.0,94072.0,3720.0;Tm9;R;720575940616575500;R276;V
179450.0,91622.0,3293.0;Tm9;R;720575940608677641;R277;V
183463.0,80201.0,2809.0;Tm9;R;720575940624783335;R278;V
195307.0,72124.0,2916.0;Tm9;R;720575940623338474;R279;V
177511.0,89592.0,3063.0;Tm9;R;720575940627756304;R280;V
176650.0,88636.0,2977.0;Tm9;R;720575940638773062;R281;V
192220.0,70406.0,2826.0;Tm9;R;720575940640967413;R282;V
178583.0,80880.0,2655.0;Tm9;R;720575940628793329;R283;V
182981.0,75928.0,2538.0;Tm9;R;720575940635742063;R284;V
188310.0,86120.0,3253.0;Tm9;R;720575940612371941;R285;V
185853.0,76820.0,2695.0;Tm9;R;720575940621858943;R286;V
189965.0,75364.0,2847.0;Tm9;R;720575940639983192;R287;V
184958.0,75747.0,2757.0;Tm9;R;720575940632200007;R288;V
189812.0,83728.0,3127.0;Tm9;R;720575940606996354;R289;V
184021.0,87038.0,3030.0;Tm9;R;720575940634723735;R290;V
182920.0,83909.0,2781.0;Tm9;R;720575940620570715;R291;V
200398.0,49890.0,4478.0;Tm9;R;720575940617991764;R292;D
200870.0,47533.0,4879.0;Tm9;R;720575940621012929;R293;D
195110.0,43728.0,4542.0;Tm9;R;720575940609254851;R294;D
202255.0,50710.0,4684.0;Tm9;R;720575940615655730;R295;D
196934.0,52789.0,3750.0;Tm9;R;720575940613881775;R296;D
192504.0,41704.0,4598.0;Tm9;R;720575940612563891;R297;D
197644.0,50892.0,4025.0;Tm9;R;720575940627687496;R298;D
179372.0,89850.0,3129.0;Tm9;R;720575940632179783;R299;V
179778.0,94139.0,3755.0;Tm9;R;720575940638752838;R300;V
186245.0,74095.0,2643.0;Tm9;R;720575940608057353;R301;V
193683.0,43658.0,4354.0;Tm9;R;720575940630942551;R302;D
192233.0,43754.0,4207.0;Tm9;R;720575940628857387;R303;D
178580.0,94614.0,3789.0;Tm9;R;720575940614768179;R304;V
179675.0,92550.0,3424.0;Tm9;R;720575940639292479;R305;V
181734.0,93158.0,3634.0;Tm9;R;720575940607291314;R306;V
197719.0,67310.0,3253.0;Tm9;R;720575940604810208;R307;D
177672.0,76963.0,2564.0;Tm9;R;720575940622139844;R308;V
178168.0,93156.0,3459.0;Tm9;R;720575940611501154;R309;V
186856.0,77933.0,2699.0;Tm9;R;720575940617561017;R310;V
181938.0,86532.0,2837.0;Tm9;R;720575940611805845;R311;V
179120.0,90509.0,3138.0;Tm9;R;720575940621211584;R312;V
176482.0,86017.0,2849.0;Tm9;R;720575940645463406;R313;V
179556.0,81892.0,2722.0;Tm9;R;720575940608856533;R314;V
180196.0,70277.0,2431.0;Tm9;R;720575940628703079;R315;V
181059.0,80795.0,2661.0;Tm9;R;720575940634532247;R316;V
177368.0,79755.0,2611.0;Tm9;R;720575940617341657;R317;V
187411.0,79166.0,2764.0;Tm9;R;720575940616030770;R318;V
184579.0,78709.0,2697.0;Tm9;R;720575940610014674;R319;V
181644.0,85363.0,2880.0;Tm9;R;720575940638118975;R320;V
184628.0,82678.0,2874.0;Tm9;R;720575940622953485;R321;V
187143.0,90333.0,3538.0;Tm9;R;720575940636694117;R322;V
195794.0,69458.0,3050.0;Tm9;R;720575940626614202;R323;D
195809.0,67513.0,3032.0;Tm9;R;720575940628821520;R324;D
194920.0,45250.0,4197.0;Tm9;R;720575940631934039;R325;D
184434.0,52885.0,2970.0;Tm9;R;720575940618601729;R326;D
180052.0,79337.0,2622.0;Tm9;R;720575940615018146;R327;V
181976.0,96010.0,3998.0;Tm9;R;720575940631177231;R328;V
177350.0,92113.0,3322.0;Tm9;R;720575940639383349;R329;V
195995.0,64846.0,3189.0;Tm9;R;720575940625523856;R330;D
179122.0,85982.0,2870.0;Tm9;R;720575940620757231;R331;V
178901.0,78759.0,2613.0;Tm9;R;720575940630041615;R332;V
177171.0,81697.0,2679.0;Tm9;R;720575940632133516;R333;V
178474.0,77660.0,2570.0;Tm9;R;720575940634679191;R334;V
189100.0,91841.0,3842.0;Tm9;R;720575940627284666;R335;V
189885.0,79715.0,2881.0;Tm9;R;720575940618268061;R336;V
183812.0,81424.0,2820.0;Tm9;R;720575940627600271;R337;V
188978.0,76840.0,2799.0;Tm9;R;720575940630130176;R338;V
181250.0,84330.0,2797.0;Tm9;R;720575940626521820;R339;V
183725.0,93652.0,3639.0;Tm9;R;720575940632783673;R340;V
180809.0,83045.0,2760.0;Tm9;R;720575940616141785;R341;V
190727.0,72848.0,2899.0;Tm9;R;720575940632685516;R342;V
182964.0,79357.0,2772.0;Tm9;R;720575940632118668;R343;V
193218.0,67037.0,2889.0;Tm9;R;720575940622802695;R344;D
195597.0,59744.0,3252.0;Tm9;R;720575940610985058;R345;D
183702.0,50310.0,3070.0;Tm9;R;720575940631014487;R346;D
186181.0,50722.0,3198.0;Tm9;R;720575940620053707;R347;D
186848.0,62092.0,2700.0;Tm9;R;720575940620017573;R348;D
185433.0,66413.0,2490.0;Tm9;R;720575940619717872;R349;D
188395.0,69192.0,2604.0;Tm9;R;720575940616595515;R350;V
187950.0,64073.0,2831.0;Tm9;R;720575940632014673;R351;D
189752.0,68688.0,2752.0;Tm9;R;720575940625903678;R352;D
204327.0,73249.0,4103.0;Tm9;R;720575940629309339;R353;V
200550.0,64844.0,3576.0;Tm9;R;720575940620556225;R354;D
190614.0,80867.0,3065.0;Tm9;R;720575940620285861;R355;V
195638.0,77364.0,3131.0;Tm9;R;720575940615681804;R356;V
185918.0,93976.0,3906.0;Tm9;R;720575940624735207;R357;V
183539.0,95378.0,3930.0;Tm9;R;720575940604668094;R358;V
189456.0,41591.0,4405.0;Tm9;R;720575940655683489;R359;D
193832.0,53198.0,3383.0;Tm9;R;720575940640670928;R360;D
195234.0,81963.0,3360.0;Tm9;R;720575940621899269;R361;V
191864.0,78635.0,2954.0;Tm9;R;720575940629678718;R362;V
194080.0,78386.0,3081.0;Tm9;R;720575940615463327;R363;V
188777.0,81761.0,2984.0;Tm9;R;720575940607889609;R364;V
182465.0,87797.0,3051.0;Tm9;R;720575940620433345;R365;V
186236.0,87032.0,3057.0;Tm9;R;720575940618082077;R366;V
185569.0,86052.0,3077.0;Tm9;R;720575940627807877;R367;V
181906.0,92496.0,3425.0;Tm9;R;720575940620002068;R368;V
192547.0,87200.0,3543.0;Tm9;R;720575940626804825;R369;V
185226.0,91614.0,3527.0;Tm9;R;720575940610726776;R370;V
186714.0,89557.0,3362.0;Tm9;R;720575940626564964;R371;V
191872.0,85190.0,3389.0;Tm9;R;720575940631381975;R372;V
193779.0,50844.0,3529.0;Tm9;R;720575940637854015;R373;D
194272.0,58810.0,3229.0;Tm9;R;720575940623070051;R374;D
188870.0,89883.0,3638.0;Tm9;R;720575940617143611;R375;V
183394.0,91274.0,3380.0;Tm9;R;720575940620577518;R376;V
185084.0,89740.0,3366.0;Tm9;R;720575940609981123;R377;V
196053.0,57675.0,3402.0;Tm9;R;720575940629989635;R378;D
187622.0,57538.0,2931.0;Tm9;R;720575940652963830;R379;D
196232.0,54399.0,3557.0;Tm9;R;720575940636491877;R380;D
196694.0,76010.0,3321.0;Tm9;R;720575940631225943;R381;V
198520.0,71298.0,3347.0;Tm9;R;720575940621069812;R382;D
188820.0,41789.0,4301.0;Tm9;R;720575940638766720;R383;D
197018.0,49340.0,4113.0;Tm9;R;720575940618287064;R384;D
186590.0,88650.0,3247.0;Tm9;R;720575940610797010;R385;V
184490.0,94587.0,3914.0;Tm9;R;720575940622505332;R386;V
182802.0,96395.0,4191.0;Tm9;R;720575940618568768;R387;V
187508.0,52488.0,3099.0;Tm9;R;720575940634783898;R388;D
183978.0,55538.0,2840.0;Tm9;R;720575940640962805;R389;D
196328.0,49512.0,3982.0;Tm9;R;720575940638007642;R390;D
183604.0,60305.0,2635.0;Tm9;R;720575940639382131;R391;D
197051.0,70809.0,3013.0;Tm9;R;720575940629831806;R392;D
190959.0,59306.0,2976.0;Tm9;R;720575940629851514;R393;D
191013.0,81908.0,3144.0;Tm9;R;720575940614599318;R394;V
187210.0,91215.0,3508.0;Tm9;R;720575940619812555;R395;V
187157.0,92518.0,3624.0;Tm9;R;720575940635762842;R396;V
193468.0,82618.0,3255.0;Tm9;R;720575940660103553;R397;V
185392.0,84443.0,2927.0;Tm9;R;720575940615494303;R398;V
182864.0,89248.0,3223.0;Tm9;R;720575940625443315;R399;V
185188.0,95433.0,4074.0;Tm9;R;720575940639136701;R400;V
185805.0,92999.0,3729.0;Tm9;R;720575940636288887;R401;V
190681.0,88720.0,3568.0;Tm9;R;720575940639142589;R402;V
182854.0,88412.0,3033.0;Tm9;R;720575940617315033;R403;V
184726.0,88161.0,3180.0;Tm9;R;720575940622056572;R404;V
183390.0,90156.0,3278.0;Tm9;R;720575940626223716;R405;V
198724.0,53280.0,3927.0;Tm9;R;720575940647564932;R406;D
